ORF	5m	15m	30m	4h
CAGL0F03113g	-0.044196302	0.553141774	1.563202086	-2.036770224
CAGL0F03245g	-0.017116862	-1.056423951	-0.347898191	1.125123215
CAGL0F03267g	-0.308285462	1.910020559	3.48535862	-4.318228887
CAGL0F03333g	-0.338713655	-0.715914377	-2.054881674	1.163440147
CAGL0F03707g	0.228773839	2.731315531	1.537971423	-3.217627711
CAGL0F03927g	-0.360050994	-0.869804368	-3.338116114	2.418000753
CAGL0F04323g	-0.315769124	-0.818270481	-1.679468774	2.763544888
CAGL0F04433g	0.059104426	-0.440002151	-2.557096493	2.304380805
CAGL0F04499g	-0.743537798	-2.293997461	-4.89164011	2.396296751
CAGL0F04521g	2.50157761	5.219402098	4.253758986	-3.120021302
CAGL0F04609g	0.10948653	0.266293353	1.218672305	-1.426208893
CAGL0F04631g	0.049259677	3.054654223	3.320983875	-2.709252986
CAGL0F04697g	0.39882215	1.230752493	0.40671886	-3.486028906
CAGL0F04763g	-0.182154716	-1.102906619	-0.512125275	1.606262848
CAGL0F04807g	0.137123865	0.535021921	2.959453473	-4.134365644
CAGL0F04917g	-0.089454627	2.537424734	1.195987474	-1.014869691
CAGL0F04939g	0.043597415	-0.623441287	-1.849885193	2.305921346
CAGL0F04983g	-0.189627845	-0.951118403	-3.785021355	1.933378681
CAGL0F05071g	-0.041992174	-0.148447126	1.953314554	-1.66653302
CAGL0F05093g	0.184100564	-0.533427931	-1.855067852	3.160528552
CAGL0F05115g	-0.058439162	-0.485785172	-1.404312521	1.807732518
CAGL0F05247g	0.031261376	0.894091147	1.809390772	-1.891792483
CAGL0F05643g	-0.072438575	-0.309914258	-1.205708072	1.267359717
CAGL0F06061g	0.109429381	0.343260661	1.539609755	-1.503704529
CAGL0F06149g	-0.204636168	-0.924541991	-1.505541303	2.257925315
CAGL0F06325g	0.318570977	0.337912263	1.975387576	-1.824412796
CAGL0F06523g	-0.23927659	-1.088210522	-3.245175871	1.079197474
CAGL0F06809g	-0.297731022	-0.879148362	-3.594876394	1.482884049
CAGL0F06897g	0.100384449	-0.032739496	-1.372127408	3.106351417
CAGL0F06941g	0.463712003	0.7130607	1.076557865	-2.158019922
CAGL0F07007g	0.473328622	1.63443845	2.203443259	-1.179256525
CAGL0F07029g	-0.141735428	1.199485757	3.403991177	-3.612742742
CAGL0F07117g	-0.023133695	1.978353025	4.25726208	-2.311389992
CAGL0F07139g	-0.037324536	-0.487811811	-2.927689365	1.810755056
CAGL0F07271g	-0.393363702	-1.122847228	-1.115805172	2.080489054
CAGL0F07315g	0	0.493313724	1.382587082	-1.388106942
CAGL0F07359g	-0.078635505	2.159760533	2.173819211	-2.248585599
CAGL0F07403g	-0.188567792	-0.625683501	-2.524188058	1.155941282
CAGL0F07447g	0.0856857	0.524958893	1.499407296	-1.387648151
CAGL0F07513g	0.704429534	2.173937945	1.902148538	-2.165298211
CAGL0F07579g	0.258553404	0.431772801	1.322906653	-2.959084175
CAGL0F07623g	-0.1756213	-1.016689489	-0.730881012	1.029741944
CAGL0F07645g	-0.511476188	-1.0800772	-3.84825796	1.434210202
CAGL0F07755g	0.094650753	-0.70378887	-1.141044449	1.279173048
CAGL0F07777g	0.145727557	1.072204117	3.271124814	-4.650975395
CAGL0F07799g	0.290547699	1.039061703	1.24632037	-1.316407094
CAGL0F07843g	-0.419576302	-1.374442233	-0.711887382	1.104774571
CAGL0F07953g	-0.678689578	-0.105383791	4.469351464	-6.154373571
CAGL0F08085g	1.375453915	-0.79172934	2.073621182	-2.579485175
CAGL0F08261g	-0.093617815	2.134224475	3.295477722	-1.126630409
CAGL0F08305g	-0.177612294	1.058125784	1.724152173	-1.847034743
CAGL0F08525g	-0.230407536	-0.252399301	-1.832575902	1.883965761
CAGL0F08745g	1.194320011	3.193118681	1.560094346	-2.620821617
CAGL0F08943g	-0.11652763	-0.710630755	1.016261287	-1.338019197
CAGL0G00154g	-0.444024498	-0.48841268	-2.074053072	1.265492542
CAGL0G00264g	-0.420905267	-1.410047303	-4.458224719	1.686597363
CAGL0G00286g	0.077595962	-0.365987691	-1.769763556	1.176156125
CAGL0G00330g	-0.079915276	-0.722174559	-1.917984557	1.037909265
CAGL0G00550g	0.158121819	0.832515226	1.205576721	-1.218029488
CAGL0G00704g	-0.179879961	-1.005241779	-1.095799592	1.439734248
CAGL0G00924g	0.029167737	-0.461765742	-2.784164769	1.196413087
CAGL0G01100g	0.176718353	1.265385131	2.353703692	-3.50887035
CAGL0G01122g	1.754403492	2.738441793	1.593989886	-3.033612687
CAGL0G01364g	-0.149274487	-0.288365864	-1.034208069	1.024287603
CAGL0G01738g	-0.187478282	0.943303006	1.682688029	-4.923949547
CAGL0G01782g	0.05988995	-0.694144506	-1.869909404	2.523638259
CAGL0G01804g	0.097120778	0.273125723	1.063582025	-1.146003185
CAGL0G02101g	0.439545097	0.898024358	2.458612762	-2.22741492
CAGL0G02167g	-0.240114111	-0.993340873	-1.953099066	1.021528124
CAGL0G02255g	0.13468903	0.924460082	2.654665319	-1.372569033
CAGL0G02387g	-0.156954558	-0.693254593	-1.296578508	3.326886938
CAGL0G02651g	-0.031977225	0.152711137	1.258545063	-1.594358951
CAGL0G02673g	-0.048320482	1.178660571	1.957381639	-3.431777956
CAGL0G02717g	-0.166114841	1.286737911	3.028559526	-1.557840132
CAGL0G02761g	-0.243597681	-0.682860211	-2.169971651	2.456075771
CAGL0G02783g	-0.1729152	-0.980752712	-2.240378748	2.756138297
CAGL0G02849g	0.363302167	0.486585318	3.764858282	-2.109214673
CAGL0G03003g	-0.101674032	-0.616010824	-2.810035726	3.963296204
CAGL0G03069g	-0.008206146	-1.016130334	-1.346686775	1.972456203
CAGL0G03091g	-0.124436389	-0.313999487	-1.114445855	4.384623268
CAGL0G03113g	-0.226623033	-0.361808859	-1.762347764	1.830563138
CAGL0G03179g	0.207072448	1.673139179	1.161772385	-1.043062338
CAGL0G03245g	0.036453272	0.591293615	1.03555292	-1.763347483
CAGL0G03289g	0.116474107	4.335174716	3.419252357	-1.672332771
CAGL0G03443g	0.20223105	0.014171771	-1.953280452	1.855016943
CAGL0G03619g	0.013170401	-0.22177397	1.455721109	-1.492760811
CAGL0G03773g	0.389764019	0.871613184	1.616379132	-4.500736329
CAGL0G03883g	0.249743634	3.698616974	2.065228559	-1.740927434
CAGL0G03971g	0.032550867	0.430001395	1.182366204	-1.348974981
CAGL0G04191g	-0.512984288	-1.051663916	-0.805814374	2.037909265
CAGL0G04389g	-0.204454971	-1.00534169	-0.994004791	4.808226808
CAGL0G04587g	-0.031157776	-0.502068777	-1.118989139	3.2833853
CAGL0G05005g	0.167240516	-0.323055837	-1.123599164	1.011221581
CAGL0G05049g	0.189876089	0.440624078	1.827807841	-1.019715279
CAGL0G05269g	0.570544678	0.65020437	3.939344834	-5.529360913
CAGL0G05357g	-0.105352551	0.901134359	2.227797936	-4.044398405
CAGL0G05632g	-0.597466291	1.903800417	3.437855274	-8.448657053
CAGL0G05698g	0.025349761	0.352576405	1.277118942	-3.037373267
